,,,,,,,,,,,,,English
,created_at_et,agency_name,id,call_url,status,line,reason,type,short_summary,call_duration,message_count,transcript,
,"Dec 06, 2025 9:25 PM",Cal-West Insurance Services Inc.,60efa969-3376-4b08-bf75-debd104aa3a5,https://app.policylift.ai/calls/60efa969-3376-4b08-bf75-debd104aa3a5,filtered,unknown,unknown,unknown,Initial greeting from Cal-West Insurance Services Inc.,0:00:03,1,assistant: Hi there. This is Kelly from Cal-West Insurance Services Inc.. How can I help you today?,
,"Feb 03, 2026 1:17 PM",MartinoWest Business & Insurance Solutions,d64b9a23-1915-4b59-b22f-cf8545da07bb,https://app.policylift.ai/calls/d64b9a23-1915-4b59-b22f-cf8545da07bb,filtered,unknown,unknown,unknown,Customer initiated call to MartinoWest Insurance.,0:00:02,3,"assistant: Hi - Thanks for calling MartinoWest Business & Insurance Solutions,this is Harper on a recorded line. How can I help?

user: Alright.
assistant: Yeah, no problem. What",English
,"Dec 26, 2025 1:29 PM",Dale Wagner Insurance,96e64d04-1489-4af1-ba75-93f5e880a623,https://app.policylift.ai/calls/96e64d04-1489-4af1-ba75-93f5e880a623,filtered,unknown,unknown,unknown,"Customer mentioned having a cough, brief call.",0:00:03,3,"assistant: Hi there. This is Kelly from Dale Wagner Insurance. How can I help you today?
user: I had a cough.
assistant: Thanks",English
,"Jan 28, 2026 1:29 PM",Dale Wagner Insurance,fe9a3c45-0348-4b98-8993-b16a326e81ba,https://app.policylift.ai/calls/fe9a3c45-0348-4b98-8993-b16a326e81ba,filtered,unknown,unknown,unknown,Unclear call purpose; user disconnected early,0:00:05,3,"assistant: Hi - Thanks for calling Dale Wagner Insurance,this is Kelly on a recorded line. How can I help?

user: It wouldn't have
assistant: Oh, okay. Can","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M6)"
,"Feb 11, 2026 12:32 PM",Dale Wagner Insurance,3160bd04-63ae-4d85-bb54-4dfb43d0de5e,https://app.policylift.ai/calls/3160bd04-63ae-4d85-bb54-4dfb43d0de5e,completed,unknown,unknown,unknown,"Customer called Dale Wagner Insurance, line disconnected early.",0:00:06,3,"assistant: Hi - Thanks for calling Dale Wagner Insurance,this is Kelly on a recorded line. How can I help?

user: Hello?
assistant: Yeah, I’m here. What can I","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M7)"
,"Feb 11, 2026 12:31 PM",Dale Wagner Insurance,084ca531-05ee-4b69-8d7b-15e22144fea7,https://app.policylift.ai/calls/084ca531-05ee-4b69-8d7b-15e22144fea7,spam,unknown,unknown,unknown,"Customer attempted to connect, unclear issue.",0:00:06,5,"assistant: Hi - Thanks for calling Dale Wagner Insurance,this is Kelly on a recorded line. How can I help?

user: Hello?
assistant: Yeah, I’m here. What
user: Hello?
assistant: Hi, I can hear",English
,"Dec 09, 2025 9:40 AM",Lichters Insurance,aa58d1eb-a3ce-45ad-bde4-e3bf533938cf,https://app.policylift.ai/calls/aa58d1eb-a3ce-45ad-bde4-e3bf533938cf,hidden,unknown,unknown,unknown,Customer confirmed agency name: Lichters Insurance,0:00:10,0,null,
,"Feb 14, 2026 5:06 PM",Seguros Ideal,b1e492ea-9b20-4282-89e5-97d4278daaef,https://app.policylift.ai/calls/b1e492ea-9b20-4282-89e5-97d4278daaef,completed,unknown,unknown,unknown,Customer requested to continue the call in Spanish.,0:00:06,3,"assistant: Hi this is Kelly with Seguros Ideal on a recorded line. Si desea continuar en español, diga ""Español"".
user: Español.
assistant: ¡Hola! Gracias","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M10)"
,"Dec 09, 2025 9:41 AM",Lichters Insurance,13b95639-d66c-4c38-ac02-42cd60ba392f,https://app.policylift.ai/calls/13b95639-d66c-4c38-ac02-42cd60ba392f,filtered,unknown,unknown,unknown,Caller begins inquiry with Lichters Insurance agent,0:00:00,1,assistant: Hi there. This is Sammy from Lichters Insurance. How can I help you today?,
,"Feb 16, 2026 12:11 PM",Winkler Insurance,036c9e41-09fd-4f43-aff7-c3c36cf66230,https://app.policylift.ai/calls/036c9e41-09fd-4f43-aff7-c3c36cf66230,completed,unknown,unknown,unknown,Customer requests assistance from Winkler Insurance,0:00:06,3,"assistant: Hi - Thanks for calling Winkler Insurance,this is Kelly on a recorded line. How can I help?

user: Can you help me?
assistant: Yeah, no problem. What do",english
,"Feb 18, 2026 7:02 PM",Norton Insurance,2693afb1-76f2-42e7-b84d-669a59f9cbf7,https://app.policylift.ai/calls/2693afb1-76f2-42e7-b84d-669a59f9cbf7,spam,unknown,unknown,unknown,"Customer tested line, no request made",0:00:06,5,"assistant: Hi - Thanks for calling Norton Insurance,this is Kelly on a recorded line. How can I help?

user: Hey, Kelly. I was just testing to make sure you're working.
assistant: Yeah, no problem. I’m here and ready to help whenever you need something. Anything else you want to check today?
user: Thank you very much.
assistant: Thanks for calling us, we appreciate your time. Have a great day! Goodbye.",english
,"Mar 06, 2026 5:38 PM",Cardon Insurance Agency,6f1afbab-048c-4c96-a24c-4c83d28cff83,https://app.policylift.ai/calls/6f1afbab-048c-4c96-a24c-4c83d28cff83,spam,unknown,unknown,unknown,"Caller dialed wrong number, ended call",0:00:06,3,"assistant: Hi - Thanks for calling Cardon Insurance Agency,this is Maria on a recorded line. How can I help?

user: Sorry. Wrong number.
assistant: Thanks for calling us, we appreciate your time. Have a great day! Goodbye.","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M14)"
